MONTH,TMEAN_SAISON,TMAX_SAISON,TMIN_SAISON,PREC_SAISON,TMEAN,TMAX,TMIN,T_EXTREME_MAX,T_EXTREME_MIN,PREC,PREC_MAX,PREC_CUMUL,TMEAN_ECART,TMAX_ECART,TMIN_ECART,PREC_ECART
1,19.7,22.1,17.4,63.5,19.5,22.1,17.2,25.2,15.0,14.5,3.7,14.5,-0.2,0.0,-0.2,-49.0
2,20.2,22.6,18.1,64.5,21.2,24.0,18.7,26.4,16.4,18.6,11.0,33.1,1.0,1.4,0.6,-45.9
3,19.1,21.4,17.1,72.9,19.2,21.5,17.1,25.1,13.6,62.1,10.0,95.2,0.1,0.1,0.0,-10.8
4,17.1,19.1,15.3,86.6,17.4,19.6,15.4,22.2,13.5,44.6,8.5,139.8,0.3,0.5,0.1,-42.0
5,15.1,16.9,13.6,99.1,15.2,17.1,13.6,20.2,9.8,159.8,47.6,299.6,0.1,0.2,0.0,60.7
6,13.2,14.8,11.7,98.9,14.2,15.7,13.0,18.2,10.2,144.7,20.9,444.3,1.0,0.9,1.3,45.8
7,12.2,13.8,10.6,115.8,12.7,14.3,11.5,16.4,8.7,174.7,39.3,619.0,0.5,0.5,0.9,58.9
8,12.2,13.9,10.6,105.4,13.0,14.7,11.5,16.2,8.2,138.4,29.1,757.4,0.8,0.8,0.9,33.0
9,13.2,15.1,11.4,80.0,13.1,15.1,11.1,18.7,6.8,58.6,13.2,816.0,-0.1,0.0,-0.3,-21.4
10,14.4,16.4,12.4,80.4,15.4,17.7,13.3,20.8,9.7,58.3,17.5,874.3,1.0,1.3,0.9,-22.1
11,16.0,18.2,13.9,65.8,17.1,19.3,15.2,21.9,12.9,89.1,18.9,963.4,1.1,1.1,1.3,23.3
12,18.1,20.3,15.9,82.5,18.2,20.6,15.9,23.6,13.2,37.0,12.3,1000.4,0.1,0.3,0.0,-45.5
