DAY,PREC_SAISON,TMEAN_SAISON,TMAX_SAISON,TMIN_SAISON,PREC,TMEAN,TMAX,TMIN,TMEAN_ECART,TMAX_ECART,TMIN_ECART
1,2.6,20.0,22.3,17.9,1.6,20.0,22.4,18.3,0.0,0.1,0.4
2,2.5,20.0,22.1,18.1,4.2,20.9,23.6,18.4,0.9,1.5,0.3
3,3.6,19.9,22.0,18.0,14.4,20.8,22.2,19.7,0.9,0.2,1.7
4,1.9,19.4,21.7,17.4,2.1,20.2,22.9,18.0,0.8,1.2,0.6
5,1.3,19.7,22.2,17.5,0.9,19.6,22.4,17.1,-0.1,0.2,-0.4
6,4.1,19.7,21.9,17.6,5.6,20.0,22.6,17.4,0.3,0.7,-0.2
7,3.9,19.6,22.0,17.6,0.1,19.3,21.0,18.2,-0.3,-1.0,0.6
8,1.9,19.7,22.1,17.7,0.2,18.5,19.5,17.3,-1.2,-2.6,-0.4
9,2.6,19.7,22.1,17.7,0.3,18.2,19.9,17.2,-1.5,-2.2,-0.5
10,3.3,19.6,21.9,17.5,5.3,19.0,21.1,16.7,-0.6,-0.8,-0.8
11,4.3,19.4,21.5,17.5,11.7,19.5,21.5,17.9,0.1,0.0,0.4
12,2.7,19.3,21.7,17.2,0.3,19.6,22.4,17.4,0.3,0.7,0.2
13,2.3,19.2,21.6,17.2,1.5,19.3,22.2,17.1,0.1,0.6,-0.1
14,3.9,18.8,21.0,16.9,0.1,19.4,22.4,16.7,0.6,1.4,-0.2
15,1.7,18.8,21.2,16.9,0.9,20.2,22.7,18.2,1.4,1.5,1.3
16,2.0,19.0,21.3,17.0,1.4,19.6,20.9,18.3,0.6,-0.4,1.3
17,1.3,18.8,21.0,16.7,2.1,19.0,21.3,16.3,0.2,0.3,-0.4
18,0.5,18.8,21.3,16.7,2.1,18.8,20.7,17.3,0.0,-0.6,0.6
19,1.2,18.6,20.7,16.8,0.8,18.0,20.2,15.8,-0.6,-0.5,-1.0
20,0.7,18.9,21.3,17.0,0.7,17.6,20.0,15.4,-1.3,-1.3,-1.6
21,1.0,18.9,21.4,16.9,0.0,17.8,20.4,15.0,-1.1,-1.0,-1.9
22,1.8,18.7,21.1,16.5,0.0,18.5,20.9,16.5,-0.2,-0.2,0.0
23,1.3,18.5,21.0,16.4,0.0,18.7,21.1,16.6,0.2,0.1,0.2
24,1.2,18.5,20.9,16.5,0.1,18.5,21.2,16.4,0.0,0.3,-0.1
25,1.4,18.6,20.7,16.7,0.0,18.8,21.6,16.5,0.2,0.9,-0.2
26,3.6,18.4,20.6,16.6,0.6,19.0,21.4,16.9,0.6,0.8,0.3
27,1.6,18.6,20.9,16.5,0.2,19.1,20.8,18.0,0.5,-0.1,1.5
28,1.9,18.8,21.1,16.9,2.1,19.7,21.7,18.2,0.9,0.6,1.3
29,4.2,18.8,21.1,17.0,6.9,20.6,22.6,19.1,1.8,1.5,2.1
30,2.1,18.4,20.5,16.6,4.6,20.5,21.9,19.6,2.1,1.4,3.0
31,4.2,18.4,20.6,16.4,9.8,20.1,21.6,17.7,1.7,1.0,1.3
